Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q9UPQ8	DOLK_HUMAN	reviewed	Dolichol kinase (EC 2.7.1.108) (Transmembrane protein 15)	DOLK KIAA1094 TMEM15 UNQ2422/PRO4980	Homo sapiens (Human)	538
Q8TED0	UTP15_HUMAN	reviewed	U3 small nucleolar RNA-associated protein 15 homolog	UTP15	Homo sapiens (Human)	518
Q03426	KIME_HUMAN	reviewed	Mevalonate kinase (MK) (EC 2.7.1.36)	MVK	Homo sapiens (Human)	396
P46060	RAGP1_HUMAN	reviewed	Ran GTPase-activating protein 1 (RanGAP1)	RANGAP1 KIAA1835 SD	Homo sapiens (Human)	587
Q9Y2B2	PIGL_HUMAN	reviewed	N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase (EC 3.5.1.89) (Phosphatidylinositol-glycan biosynthesis class L protein) (PIG-L)	PIGL	Homo sapiens (Human)	252
O15269	SPTC1_HUMAN	reviewed	Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1)	SPTLC1 LCB1	Homo sapiens (Human)	473
P25786	PSA1_HUMAN	reviewed	Proteasome subunit alpha type-1 (EC 3.4.25.1) (30 kDa prosomal protein) (PROS-30) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain)	PSMA1 HC2 NU PROS30 PSC2	Homo sapiens (Human)	263
Q9BVC4	LST8_HUMAN	reviewed	Target of rapamycin complex subunit LST8 (TORC subunit LST8) (G protein beta subunit-like) (Gable) (Protein GbetaL) (Mammalian lethal with SEC13 protein 8) (mLST8)	MLST8 GBL LST8	Homo sapiens (Human)	326
P46087	NOP2_HUMAN	reviewed	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase (EC 2.1.1.-) (Nucleolar protein 1) (Nucleolar protein 2 homolog) (Proliferating-cell nucleolar antigen p120) (Proliferation-associated nucleolar protein p120)	NOP2 NOL1 NSUN1	Homo sapiens (Human)	812
Q8IU60	DCP2_HUMAN	reviewed	m7GpppN-mRNA hydrolase (EC 3.6.1.62) (Nucleoside diphosphate-linked moiety X motif 20) (Nudix motif 20) (mRNA-decapping enzyme 2) (hDpc)	DCP2 NUDT20	Homo sapiens (Human)	420
Q96HR8	NAF1_HUMAN	reviewed	H/ACA ribonucleoprotein complex non-core subunit NAF1 (hNAF1)	NAF1	Homo sapiens (Human)	494
Q9H0A0	NAT10_HUMAN	reviewed	N-acetyltransferase 10 (EC 2.3.1.-)	NAT10 ALP KIAA1709	Homo sapiens (Human)	1025
P49589	SYCC_HUMAN	reviewed	"Cysteine--tRNA ligase, cytoplasmic (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)"	CARS	Homo sapiens (Human)	748
Q9UBF8	PI4KB_HUMAN	reviewed	Phosphatidylinositol 4-kinase beta (PI4K-beta) (PI4Kbeta) (PtdIns 4-kinase beta) (EC 2.7.1.67) (NPIK) (PI4K92)	PI4KB PIK4CB	Homo sapiens (Human)	816
Q9Y678	COPG1_HUMAN	reviewed	Coatomer subunit gamma-1 (Gamma-1-coat protein) (Gamma-1-COP)	COPG1 COPG	Homo sapiens (Human)	874
P40937	RFC5_HUMAN	reviewed	Replication factor C subunit 5 (Activator 1 36 kDa subunit) (A1 36 kDa subunit) (Activator 1 subunit 5) (Replication factor C 36 kDa subunit) (RF-C 36 kDa subunit) (RFC36)	RFC5	Homo sapiens (Human)	340
Q9H1D9	RPC6_HUMAN	reviewed	DNA-directed RNA polymerase III subunit RPC6 (RNA polymerase III subunit C6) (DNA-directed RNA polymerase III subunit F) (RNA polymerase III 39 kDa subunit) (RPC39)	POLR3F	Homo sapiens (Human)	316
P53602	MVD1_HUMAN	reviewed	Diphosphomevalonate decarboxylase (EC 4.1.1.33) (Mevalonate (diphospho)decarboxylase) (MDDase) (Mevalonate pyrophosphate decarboxylase)	MVD MPD	Homo sapiens (Human)	400
Q9UI30	TR112_HUMAN	reviewed	Multifunctional methyltransferase subunit TRM112-like protein (tRNA methyltransferase 112 homolog)	TRMT112 AD-001 HSPC152 HSPC170	Homo sapiens (Human)	125
Q13823	NOG2_HUMAN	reviewed	Nucleolar GTP-binding protein 2 (Autoantigen NGP-1)	GNL2 NGP1	Homo sapiens (Human)	731
Q9BZD4	NUF2_HUMAN	reviewed	Kinetochore protein Nuf2 (hNuf2) (hNuf2R) (hsNuf2) (Cell division cycle-associated protein 1)	NUF2 CDCA1 NUF2R	Homo sapiens (Human)	464
P23381	SYWC_HUMAN	reviewed	"Tryptophan--tRNA ligase, cytoplasmic (EC 6.1.1.2) (Interferon-induced protein 53) (IFP53) (Tryptophanyl-tRNA synthetase) (TrpRS) (hWRS) [Cleaved into: T1-TrpRS; T2-TrpRS]"	WARS IFI53 WRS	Homo sapiens (Human)	471
P62877	RBX1_HUMAN	reviewed	"E3 ubiquitin-protein ligase RBX1 (EC 6.3.2.-) (Protein ZYP) (RING finger protein 75) (RING-box protein 1) (Rbx1) (Regulator of cullins 1) [Cleaved into: E3 ubiquitin-protein ligase RBX1, N-terminally processed]"	RBX1 RNF75 ROC1	Homo sapiens (Human)	108
Q8TAI1	TYMOS_HUMAN	reviewed	TYMS opposite strand protein	TYMSOS C18orf56	Homo sapiens (Human)	123
P49247	RPIA_HUMAN	reviewed	Ribose-5-phosphate isomerase (EC 5.3.1.6) (Phosphoriboisomerase)	RPIA RPI	Homo sapiens (Human)	311
P17980	PRS6A_HUMAN	reviewed	26S protease regulatory subunit 6A (26S proteasome AAA-ATPase subunit RPT5) (Proteasome 26S subunit ATPase 3) (Proteasome subunit P50) (Tat-binding protein 1) (TBP-1)	PSMC3 TBP1	Homo sapiens (Human)	439
Q8NHR9	PROF4_HUMAN	reviewed	Profilin-4 (Profilin IV)	PFN4	Homo sapiens (Human)	129
Q9H3S4	TPK1_HUMAN	reviewed	Thiamin pyrophosphokinase 1 (hTPK1) (EC 2.7.6.2) (Placental protein 20) (PP20) (Thiamine pyrophosphokinase 1)	TPK1	Homo sapiens (Human)	243
Q86VD9	PIGZ_HUMAN	reviewed	GPI mannosyltransferase 4 (EC 2.4.1.-) (GPI mannosyltransferase IV) (GPI-MT-IV) (Phosphatidylinositol-glycan biosynthesis class Z protein) (PIG-Z) (SMP3 homolog) (hSMP3)	PIGZ SMP3	Homo sapiens (Human)	579
P62304	RUXE_HUMAN	reviewed	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)	SNRPE	Homo sapiens (Human)	92
P47897	SYQ_HUMAN	reviewed	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	QARS	Homo sapiens (Human)	775
P22830	HEMH_HUMAN	reviewed	"Ferrochelatase, mitochondrial (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)"	FECH	Homo sapiens (Human)	423
P62875	RPAB5_HUMAN	reviewed	"DNA-directed RNA polymerases I, II, and III subunit RPABC5 (RNA polymerases I, II, and III subunit ABC5) (DNA-directed RNA polymerase III subunit L) (RNA polymerase II 7.6 kDa subunit) (RPB7.6) (RPB10 homolog)"	POLR2L	Homo sapiens (Human)	67
Q92993	KAT5_HUMAN	reviewed	Histone acetyltransferase KAT5 (EC 2.3.1.48) (60 kDa Tat-interactive protein) (Tip60) (Histone acetyltransferase HTATIP) (HIV-1 Tat interactive protein) (Lysine acetyltransferase 5) (cPLA(2)-interacting protein)	KAT5 HTATIP TIP60	Homo sapiens (Human)	513
P62333	PRS10_HUMAN	reviewed	26S protease regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42)	PSMC6 SUG2	Homo sapiens (Human)	389
P51665	PSMD7_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Mov34 protein homolog) (Proteasome subunit p40)	PSMD7 MOV34L	Homo sapiens (Human)	324
O95602	RPA1_HUMAN	reviewed	DNA-directed RNA polymerase I subunit RPA1 (RNA polymerase I subunit A1) (EC 2.7.7.6) (A190) (DNA-directed RNA polymerase I largest subunit) (DNA-directed RNA polymerase I subunit A) (RNA polymerase I 194 kDa subunit) (RPA194)	POLR1A	Homo sapiens (Human)	1720
P25788	PSA3_HUMAN	reviewed	Proteasome subunit alpha type-3 (EC 3.4.25.1) (Macropain subunit C8) (Multicatalytic endopeptidase complex subunit C8) (Proteasome component C8)	PSMA3 HC8 PSC8	Homo sapiens (Human)	255
P24752	THIL_HUMAN	reviewed	"Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)"	ACAT1 ACAT MAT	Homo sapiens (Human)	427
Q9NW13	RBM28_HUMAN	reviewed	RNA-binding protein 28 (RNA-binding motif protein 28)	RBM28	Homo sapiens (Human)	759
Q9BZE4	NOG1_HUMAN	reviewed	Nucleolar GTP-binding protein 1 (Chronic renal failure gene protein) (GTP-binding protein NGB)	GTPBP4 CRFG NOG1	Homo sapiens (Human)	634
P46777	RL5_HUMAN	reviewed	60S ribosomal protein L5	RPL5 MSTP030	Homo sapiens (Human)	297
Q9P2J5	SYLC_HUMAN	reviewed	"Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)"	LARS KIAA1352	Homo sapiens (Human)	1176
Q9Y221	NIP7_HUMAN	reviewed	60S ribosome subunit biogenesis protein NIP7 homolog (KD93)	NIP7 CGI-37 HSPC031 HSPC180 OK/SW-cl.76 OK/SW-cl.78	Homo sapiens (Human)	180
Q6P4F2	ADXL_HUMAN	reviewed	"Adrenodoxin-like protein, mitochondrial (Ferredoxin-1-like protein)"	FDX1L FDX2	Homo sapiens (Human)	183
Q9UNQ2	DIM1_HUMAN	reviewed	"Probable dimethyladenosine transferase (EC 2.1.1.183) (DIM1 dimethyladenosine transferase 1 homolog) (DIM1 dimethyladenosine transferase 1-like) (Probable 18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase) (Probable 18S rRNA dimethylase) (Probable S-adenosylmethionine-6-N',N'-adenosyl(rRNA) dimethyltransferase)"	DIMT1 DIMT1L HUSSY-05	Homo sapiens (Human)	313
P56537	IF6_HUMAN	reviewed	Eukaryotic translation initiation factor 6 (eIF-6) (B(2)GCN homolog) (B4 integrin interactor) (CAB) (p27(BBP))	EIF6 EIF3A ITGB4BP OK/SW-cl.27	Homo sapiens (Human)	245
P51946	CCNH_HUMAN	reviewed	Cyclin-H (MO15-associated protein) (p34) (p37)	CCNH	Homo sapiens (Human)	323
P15104	GLNA_HUMAN	reviewed	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate decarboxylase) (EC 4.1.1.15) (Glutamate--ammonia ligase)	GLUL GLNS	Homo sapiens (Human)	373
P55010	IF5_HUMAN	reviewed	Eukaryotic translation initiation factor 5 (eIF-5)	EIF5	Homo sapiens (Human)	431
P83876	TXN4A_HUMAN	reviewed	Thioredoxin-like protein 4A (DIM1 protein homolog) (Spliceosomal U5 snRNP-specific 15 kDa protein) (Thioredoxin-like U5 snRNP protein U5-15kD)	TXNL4A DIM1 TXNL4	Homo sapiens (Human)	142
Q15008	PSMD6_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 6 (26S proteasome regulatory subunit RPN7) (26S proteasome regulatory subunit S10) (Breast cancer-associated protein SGA-113M) (Phosphonoformate immuno-associated protein 4) (Proteasome regulatory particle subunit p44S10) (p42A)	PSMD6 KIAA0107 PFAAP4	Homo sapiens (Human)	389
O14735	CDIPT_HUMAN	reviewed	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase)	CDIPT PIS PIS1	Homo sapiens (Human)	213
P53611	PGTB2_HUMAN	reviewed	Geranylgeranyl transferase type-2 subunit beta (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit beta) (GGTase-II-beta) (Rab geranyl-geranyltransferase subunit beta) (Rab GG transferase beta) (Rab GGTase beta) (Rab geranylgeranyltransferase subunit beta) (Type II protein geranyl-geranyltransferase subunit beta)	RABGGTB GGTB	Homo sapiens (Human)	331
P62306	RUXF_HUMAN	reviewed	Small nuclear ribonucleoprotein F (snRNP-F) (Sm protein F) (Sm-F) (SmF)	SNRPF PBSCF	Homo sapiens (Human)	86
O60762	DPM1_HUMAN	reviewed	Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase subunit 1)	DPM1	Homo sapiens (Human)	260
P61218	RPAB2_HUMAN	reviewed	"DNA-directed RNA polymerases I, II, and III subunit RPABC2 (RNA polymerases I, II, and III subunit ABC2) (DNA-directed RNA polymerase II subunit F) (DNA-directed RNA polymerases I, II, and III 14.4 kDa polypeptide) (RPABC14.4) (RPB14.4) (RPB6 homolog) (RPC15)"	POLR2F POLRF	Homo sapiens (Human)	127
Q8N8A6	DDX51_HUMAN	reviewed	ATP-dependent RNA helicase DDX51 (EC 3.6.4.13) (DEAD box protein 51)	DDX51	Homo sapiens (Human)	666
O60841	IF2P_HUMAN	reviewed	Eukaryotic translation initiation factor 5B (eIF-5B) (Translation initiation factor IF-2)	EIF5B IF2 KIAA0741	Homo sapiens (Human)	1220
P13716	HEM2_HUMAN	reviewed	Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	ALAD	Homo sapiens (Human)	330
P30793	GCH1_HUMAN	reviewed	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	GCH1 DYT5 GCH	Homo sapiens (Human)	250
Q13868	EXOS2_HUMAN	reviewed	Exosome complex component RRP4 (Exosome component 2) (Ribosomal RNA-processing protein 4)	EXOSC2 RRP4	Homo sapiens (Human)	293
P53803	RPAB4_HUMAN	reviewed	"DNA-directed RNA polymerases I, II, and III subunit RPABC4 (RNA polymerases I, II, and III subunit ABC4) (ABC10-alpha) (DNA-directed RNA polymerase II subunit K) (RNA polymerase II 7.0 kDa subunit) (RPB7.0) (RPB10alpha)"	POLR2K	Homo sapiens (Human)	58
P05198	IF2A_HUMAN	reviewed	Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha)	EIF2S1 EIF2A	Homo sapiens (Human)	315
Q9Y2Z0	SUGT1_HUMAN	reviewed	Suppressor of G2 allele of SKP1 homolog (Protein 40-6-3) (Sgt1)	SUGT1	Homo sapiens (Human)	365
P49588	SYAC_HUMAN	reviewed	"Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Renal carcinoma antigen NY-REN-42)"	AARS	Homo sapiens (Human)	968
Q9HCS7	SYF1_HUMAN	reviewed	Pre-mRNA-splicing factor SYF1 (Protein HCNP) (XPA-binding protein 2)	XAB2 HCNP KIAA1177 SYF1 PP3898	Homo sapiens (Human)	855
P60866	RS20_HUMAN	reviewed	40S ribosomal protein S20	RPS20	Homo sapiens (Human)	119
Q9UHW5	GPN3_HUMAN	reviewed	GPN-loop GTPase 3 (ATP-binding domain 1 family member C)	GPN3 ATPBD1C AD-009 UNQ1876/PRO4319	Homo sapiens (Human)	284
P25787	PSA2_HUMAN	reviewed	Proteasome subunit alpha type-2 (EC 3.4.25.1) (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (Proteasome component C3)	PSMA2 HC3 PSC3	Homo sapiens (Human)	234
O75027	ABCB7_HUMAN	reviewed	"ATP-binding cassette sub-family B member 7, mitochondrial (ATP-binding cassette transporter 7) (ABC transporter 7 protein)"	ABCB7 ABC7	Homo sapiens (Human)	752
P10746	HEM4_HUMAN	reviewed	Uroporphyrinogen-III synthase (UROIIIS) (UROS) (EC 4.2.1.75) (Hydroxymethylbilane hydrolyase [cyclizing]) (Uroporphyrinogen-III cosynthase)	UROS	Homo sapiens (Human)	265
O00231	PSD11_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5)	PSMD11	Homo sapiens (Human)	422
Q13200	PSMD2_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97) (Protein 55.11) (Tumor necrosis factor type 1 receptor-associated protein 2)	PSMD2 TRAP2	Homo sapiens (Human)	908
Q13573	SNW1_HUMAN	reviewed	SNW domain-containing protein 1 (Nuclear protein SkiP) (Nuclear receptor coactivator NCoA-62) (Ski-interacting protein)	SNW1 SKIIP SKIP	Homo sapiens (Human)	536
Q86SQ9	DHDDS_HUMAN	reviewed	Dehydrodolichyl diphosphate syntase complex subunit DHDDS (EC 2.5.1.87) (Cis-isoprenyltransferase) (CIT) (Cis-IPTase) (Epididymis tissue protein Li 189m)	DHDDS HDS	Homo sapiens (Human)	333
Q9NUD9	PIGV_HUMAN	reviewed	GPI mannosyltransferase 2 (EC 2.4.1.-) (GPI mannosyltransferase II) (GPI-MT-II) (Phosphatidylinositol-glycan biosynthesis class V protein) (PIG-V)	PIGV	Homo sapiens (Human)	493
Q01658	NC2B_HUMAN	reviewed	Protein Dr1 (Down-regulator of transcription 1) (Negative cofactor 2-beta) (NC2-beta) (TATA-binding protein-associated phosphoprotein)	DR1	Homo sapiens (Human)	176
P61970	NTF2_HUMAN	reviewed	Nuclear transport factor 2 (NTF-2) (Placental protein 15) (PP15)	NUTF2 NTF2	Homo sapiens (Human)	127
P18754	RCC1_HUMAN	reviewed	Regulator of chromosome condensation (Cell cycle regulatory protein) (Chromosome condensation protein 1)	RCC1 CHC1	Homo sapiens (Human)	421
Q92521	PIGB_HUMAN	reviewed	GPI mannosyltransferase 3 (EC 2.4.1.-) (GPI mannosyltransferase III) (GPI-MT-III) (Phosphatidylinositol-glycan biosynthesis class B protein) (PIG-B)	PIGB	Homo sapiens (Human)	554
O14777	NDC80_HUMAN	reviewed	Kinetochore protein NDC80 homolog (Highly expressed in cancer protein) (Kinetochore protein Hec1) (HsHec1) (Kinetochore-associated protein 2) (Retinoblastoma-associated protein HEC)	NDC80 HEC HEC1 KNTC2	Homo sapiens (Human)	642
O75575	RPC9_HUMAN	reviewed	DNA-directed RNA polymerase III subunit RPC9 (RNA polymerase III subunit C9) (Calcitonin gene-related peptide-receptor component protein) (CGRP-RCP) (CGRP-receptor component protein) (CGRPRCP) (HsC17)	CRCP	Homo sapiens (Human)	148
O15498	YKT6_HUMAN	reviewed	Synaptobrevin homolog YKT6 (EC 2.3.1.-)	YKT6	Homo sapiens (Human)	198
Q96AJ9	VTI1A_HUMAN	reviewed	Vesicle transport through interaction with t-SNAREs homolog 1A (Vesicle transport v-SNARE protein Vti1-like 2) (Vti1-rp2)	VTI1A	Homo sapiens (Human)	217
Q9Y2L1	RRP44_HUMAN	reviewed	Exosome complex exonuclease RRP44 (EC 3.1.13.-) (EC 3.1.26.-) (Protein DIS3 homolog) (Ribosomal RNA-processing protein 44)	DIS3 KIAA1008 RRP44	Homo sapiens (Human)	958
P52434	RPAB3_HUMAN	reviewed	"DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RNA polymerases I, II, and III subunit ABC3) (DNA-directed RNA polymerase II subunit H) (DNA-directed RNA polymerases I, II, and III 17.1 kDa polypeptide) (RPB17) (RPB8 homolog) (hRPB8)"	POLR2H	Homo sapiens (Human)	150
P37287	PIGA_HUMAN	reviewed	Phosphatidylinositol N-acetylglucosaminyltransferase subunit A (EC 2.4.1.198) (GlcNAc-PI synthesis protein) (Phosphatidylinositol-glycan biosynthesis class A protein) (PIG-A)	PIGA	Homo sapiens (Human)	484
Q9BXY0	MAK16_HUMAN	reviewed	Protein MAK16 homolog (NNP78) (Protein RBM13)	MAK16 RBM13	Homo sapiens (Human)	300
Q969H6	POP5_HUMAN	reviewed	Ribonuclease P/MRP protein subunit POP5 (hPop5) (EC 3.1.26.5)	POP5 AD-008 HSPC004 x0003	Homo sapiens (Human)	163
Q9BSV6	SEN34_HUMAN	reviewed	tRNA-splicing endonuclease subunit Sen34 (EC 4.6.1.16) (Leukocyte receptor cluster member 5) (tRNA-intron endonuclease Sen34) (HsSen34)	TSEN34 LENG5 SEN34	Homo sapiens (Human)	310
Q96AA3	RFT1_HUMAN	reviewed	Protein RFT1 homolog	RFT1	Homo sapiens (Human)	541
P49736	MCM2_HUMAN	reviewed	DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2 homolog) (Nuclear protein BM28)	MCM2 BM28 CCNL1 CDCL1 KIAA0030	Homo sapiens (Human)	904
Q14181	DPOA2_HUMAN	reviewed	DNA polymerase alpha subunit B (DNA polymerase alpha 70 kDa subunit)	POLA2	Homo sapiens (Human)	598
P20618	PSB1_HUMAN	reviewed	Proteasome subunit beta type-1 (EC 3.4.25.1) (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain)	PSMB1 PSC5	Homo sapiens (Human)	241
Q9Y312	AAR2_HUMAN	reviewed	Protein AAR2 homolog (AAR2 splicing factor homolog)	AAR2 C20orf4 CGI-23 PRO0225	Homo sapiens (Human)	384
P41252	SYIC_HUMAN	reviewed	"Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IRS) (IleRS)"	IARS	Homo sapiens (Human)	1262
P30260	CDC27_HUMAN	reviewed	Cell division cycle protein 27 homolog (Anaphase-promoting complex subunit 3) (APC3) (CDC27 homolog) (CDC27Hs) (H-NUC)	CDC27 ANAPC3 D0S1430E D17S978E	Homo sapiens (Human)	824
Q15003	CND2_HUMAN	reviewed	Condensin complex subunit 2 (Barren homolog protein 1) (Chromosome-associated protein H) (hCAP-H) (Non-SMC condensin I complex subunit H) (XCAP-H homolog)	NCAPH BRRN BRRN1 CAPH KIAA0074	Homo sapiens (Human)	741
O94906	PRP6_HUMAN	reviewed	Pre-mRNA-processing factor 6 (Androgen receptor N-terminal domain-transactivating protein 1) (ANT-1) (PRP6 homolog) (U5 snRNP-associated 102 kDa protein) (U5-102 kDa protein)	PRPF6 C20orf14	Homo sapiens (Human)	941
Q13416	ORC2_HUMAN	reviewed	Origin recognition complex subunit 2	ORC2 ORC2L	Homo sapiens (Human)	577
Q96F25	ALG14_HUMAN	reviewed	UDP-N-acetylglucosamine transferase subunit ALG14 homolog	ALG14	Homo sapiens (Human)	216
Q14152	EIF3A_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185)	EIF3A EIF3S10 KIAA0139	Homo sapiens (Human)	1382
P12004	PCNA_HUMAN	reviewed	Proliferating cell nuclear antigen (PCNA) (Cyclin)	PCNA	Homo sapiens (Human)	261
Q8IYI6	EXOC8_HUMAN	reviewed	Exocyst complex component 8 (Exocyst complex 84 kDa subunit)	EXOC8	Homo sapiens (Human)	725
P62495	ERF1_HUMAN	reviewed	Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1) (Protein Cl1) (TB3-1)	ETF1 ERF1 RF1 SUP45L1	Homo sapiens (Human)	437
Q15542	TAF5_HUMAN	reviewed	Transcription initiation factor TFIID subunit 5 (Transcription initiation factor TFIID 100 kDa subunit) (TAF(II)100) (TAFII-100) (TAFII100)	TAF5 TAF2D	Homo sapiens (Human)	800
P33993	MCM7_HUMAN	reviewed	DNA replication licensing factor MCM7 (EC 3.6.4.12) (CDC47 homolog) (P1.1-MCM3)	MCM7 CDC47 MCM2	Homo sapiens (Human)	719
O43148	MCES_HUMAN	reviewed	mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (RG7MT1) (mRNA (guanine-N(7)-)-methyltransferase) (mRNA cap methyltransferase) (hCMT1) (hMet) (hcm1p)	RNMT KIAA0398	Homo sapiens (Human)	476
Q7L014	DDX46_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX46 (EC 3.6.4.13) (DEAD box protein 46) (PRP5 homolog)	DDX46 KIAA0801	Homo sapiens (Human)	1031
Q32NB8	PGPS1_HUMAN	reviewed	"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase 1) (PGP synthase 1)"	PGS1	Homo sapiens (Human)	556
Q8IY81	SPB1_HUMAN	reviewed	pre-rRNA processing protein FTSJ3 (EC 2.1.1.-) (2'-O-ribose RNA methyltransferase SPB1 homolog) (Protein ftsJ homolog 3) (Putative rRNA methyltransferase 3)	FTSJ3 SB92	Homo sapiens (Human)	847
Q15269	PWP2_HUMAN	reviewed	Periodic tryptophan protein 2 homolog	PWP2 PWP2H	Homo sapiens (Human)	919
Q9NYG5	APC11_HUMAN	reviewed	Anaphase-promoting complex subunit 11 (APC11) (Cyclosome subunit 11) (Hepatocellular carcinoma-associated RING finger protein)	ANAPC11 HSPC214	Homo sapiens (Human)	84
O00311	CDC7_HUMAN	reviewed	Cell division cycle 7-related protein kinase (CDC7-related kinase) (HsCdc7) (huCdc7) (EC 2.7.11.1)	CDC7 CDC7L1	Homo sapiens (Human)	574
Q12874	SF3A3_HUMAN	reviewed	Splicing factor 3A subunit 3 (SF3a60) (Spliceosome-associated protein 61) (SAP 61)	SF3A3 SAP61	Homo sapiens (Human)	501
Q8TDD1	DDX54_HUMAN	reviewed	ATP-dependent RNA helicase DDX54 (EC 3.6.4.13) (ATP-dependent RNA helicase DP97) (DEAD box RNA helicase 97 kDa) (DEAD box protein 54)	DDX54	Homo sapiens (Human)	881
Q9Y5P6	GMPPB_HUMAN	reviewed	Mannose-1-phosphate guanyltransferase beta (EC 2.7.7.13) (GDP-mannose pyrophosphorylase B) (GTP-mannose-1-phosphate guanylyltransferase beta)	GMPPB	Homo sapiens (Human)	360
Q96NC0	ZMAT2_HUMAN	reviewed	Zinc finger matrin-type protein 2	ZMAT2	Homo sapiens (Human)	199
P28340	DPOD1_HUMAN	reviewed	DNA polymerase delta catalytic subunit (EC 2.7.7.7) (DNA polymerase subunit delta p125)	POLD1 POLD	Homo sapiens (Human)	1107
Q9NXX6	NSE4A_HUMAN	reviewed	Non-structural maintenance of chromosomes element 4 homolog A (NS4EA) (Non-SMC element 4 homolog A)	NSMCE4A C10orf86 PP4762	Homo sapiens (Human)	385
P50613	CDK7_HUMAN	reviewed	Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 kDa protein kinase) (p39 Mo15) (CDK-activating kinase 1) (Cell division protein kinase 7) (Serine/threonine-protein kinase 1) (TFIIH basal transcription factor complex kinase subunit)	CDK7 CAK CAK1 CDKN7 MO15 STK1	Homo sapiens (Human)	346
P24928	RPB1_HUMAN	reviewed	DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase II subunit A) (DNA-directed RNA polymerase III largest subunit) (RNA-directed RNA polymerase II subunit RPB1) (EC 2.7.7.48)	POLR2A POLR2	Homo sapiens (Human)	1970
P50991	TCPD_HUMAN	reviewed	T-complex protein 1 subunit delta (TCP-1-delta) (CCT-delta) (Stimulator of TAR RNA-binding)	CCT4 CCTD SRB	Homo sapiens (Human)	539
